idA	idB	O	OHA	OHB	OLA	OLB	K
50474	67895	N	16	15	235	235	0
50474	58623	N	-224	-224	27	27	0
50474	50806	N	-112	-112	139	139	0
50474	3308	N	-116	-116	135	135	0
50474	24590	N	-137	-137	114	114	0
72597	106123	N	-144	-142	107	107	0
72597	98252	N	-147	-145	104	104	0
72597	63893	N	-76	-75	174	174	1
72597	5870	N	171	173	78	78	0
72597	97691	N	-5	-4	245	245	2
72597	8834	N	-15	-13	236	236	1
72597	90208	N	-24	-22	227	227	2
72597	72666	N	-147	-145	104	104	2
72597	58074	N	-3	-1	248	248	1
72597	44796	N	-113	-111	138	138	1
26425	107261	N	24	21	227	227	1
26425	61074	N	-159	-160	91	91	1
26425	17162	N	188	187	63	63	1
26425	39362	N	-176	-177	74	74	0
26425	70051	N	-169	-169	82	82	1
26425	32037	N	-130	-131	120	120	2
26425	94402	N	-128	-128	123	123	1
26425	60409	N	-129	-129	122	122	2
26425	30767	N	112	109	139	139	2
26425	8778	N	-124	-124	127	127	2
26425	39913	N	-169	-169	82	82	0
26425	41771	N	12	12	239	239	1
26425	23551	N	231	231	20	20	0
26425	25339	N	-167	-167	84	84	1
26425	61813	N	-198	-199	52	52	1
26425	2151	N	-130	-130	121	121	2
26425	71912	N	159	159	92	92	1
26425	93410	N	-102	-103	148	148	2
26425	2584	N	-169	-169	82	82	1
26425	67365	N	-135	-135	116	116	2
28258	97595	N	33	34	216	216	0
28258	88180	N	33	34	216	216	0
28258	539	N	-95	-93	156	156	0
28258	47743	N	177	178	72	72	0
28258	74183	N	33	34	216	216	1
99967	62750	N	215	215	36	36	0
99967	102380	N	201	201	50	50	0
37726	93263	N	-224	-222	27	27	0
37726	49291	N	-94	-92	157	157	0
37726	27333	N	-223	-221	28	28	0
37726	8778	N	-206	-204	45	45	0
37726	104275	N	-215	-217	32	32	0
37726	93149	N	83	85	166	166	0
37726	2151	N	-212	-210	39	39	0
37726	93410	N	-184	-183	66	66	0
37726	85503	N	193	193	56	56	0
30688	34198	N	-156	-156	95	95	0
30688	38833	N	-41	-43	208	208	3
30688	52523	N	-62	-62	189	189	0
30688	37168	N	206	206	45	45	0
30688	1539	N	-41	-43	208	208	0
95658	41945	N	97	100	151	151	0
95658	36690	N	201	204	47	47	0
95658	35704	N	-167	-165	83	83	0
95658	13780	N	-200	-197	51	51	1
95658	89233	N	224	227	24	24	0
95658	72345	N	0	0	248	248	0
95658	70208	N	-3	-1	247	247	0
95658	76539	N	-135	-132	116	116	0
105173	81860	N	61	63	187	187	3
105173	59136	N	148	151	100	100	1
105173	84198	N	83	85	165	165	1
105173	61946	N	148	151	100	100	0
105173	73605	N	148	151	100	100	2
105173	39913	N	228	231	20	20	0
105173	29779	N	148	151	100	100	2
105173	85862	N	-89	-86	162	162	1
105173	72082	N	-25	-22	226	226	2
105173	75410	N	-152	-149	99	99	0
97323	61786	N	-214	-213	37	37	0
97323	103419	N	117	118	133	133	2
97323	45590	N	-178	-177	73	73	0
97323	25406	N	42	40	208	208	1
97323	43609	N	23	24	227	227	0
97323	33793	N	117	118	133	133	2
97323	78136	N	204	204	46	46	0
97323	54932	N	14	15	236	236	1
57126	99350	N	126	131	120	120	0
57126	47145	N	-138	-134	112	112	0
57126	87495	N	29	34	217	217	4
57126	53339	N	-208	-206	40	40	0
57126	78317	N	113	118	133	133	1
57126	51785	N	-105	-100	146	146	2
57126	91628	N	-36	-31	215	215	3
57126	28022	N	165	170	81	81	0
57126	75334	N	157	161	89	89	1
57126	78529	N	136	141	110	110	2
57126	40449	N	200	205	46	46	0
57126	1849	N	-61	-56	190	190	3
57126	75096	N	108	112	138	138	1
57126	69826	N	184	189	62	62	0
57126	96432	N	-164	-164	82	82	1
57126	50836	N	-75	-70	176	176	2
57126	73873	N	-199	-194	52	52	1
57126	10551	N	83	88	163	163	0
57126	88634	N	26	28	220	220	4
57126	5429	N	113	118	133	133	2
57126	60734	N	176	181	70	70	0
57126	80087	N	81	86	165	165	1
57126	49989	N	183	188	63	63	1
57126	103743	N	-199	-194	52	52	1
57126	53284	N	81	86	165	165	3
13951	17162	N	-161	-161	89	89	0
13951	9817	N	179	178	71	71	0
13951	94910	N	86	86	164	164	2
13951	31521	N	0	0	250	250	4
13951	93149	N	-184	-183	67	67	1
46736	71319	N	-174	-174	76	76	0
46736	61361	N	-15	-14	236	236	4
46736	74238	N	-46	-50	200	200	0
46736	97343	N	-28	-27	223	223	4
46736	62649	N	-205	-204	46	46	0
46736	73802	N	-156	-156	94	94	1
46736	97050	N	0	0	250	250	3
46736	104144	N	-28	-27	223	223	4
46736	56106	N	-108	-108	142	142	1
46736	61270	N	-117	-117	133	133	2
46736	87614	N	-200	-199	51	51	1
46736	30580	N	17	18	233	233	4
46736	99498	N	99	97	151	151	1
46736	23458	N	-142	-144	106	106	2
46736	84882	N	-159	-158	92	92	0
46736	96742	N	22	21	228	228	4
46736	17835	N	-210	-209	41	41	0
46736	65353	N	-1	-1	249	249	1
46736	106806	N	0	0	250	250	2
106123	1662	N	209	209	42	42	0
106123	28759	N	-77	-77	174	174	2
106123	75768	N	-42	-42	209	209	4
106123	23115	N	-98	-99	152	152	1
106123	67005	N	-176	-177	74	74	0
106123	106899	N	-40	-40	211	211	4
106123	14034	N	-107	-108	143	143	2
106123	89644	N	228	228	23	23	0
106123	82089	N	196	195	55	55	1
106123	63893	N	68	67	183	183	3
106123	6741	N	28	28	223	223	4
106123	79926	N	-166	-166	85	85	0
106123	97691	N	139	138	112	112	1
106123	78520	N	-164	-164	87	87	1
106123	67563	N	-77	-77	174	174	2
106123	2579	N	228	227	23	23	0
106123	8834	N	129	129	122	122	0
106123	58623	N	-118	-118	133	133	0
106123	50806	N	-6	-6	245	245	4
106123	90208	N	120	120	131	131	0
106123	3308	N	-10	-10	241	241	4
106123	24590	N	-31	-31	220	220	4
106123	58074	N	141	141	110	110	0
19679	57246	N	101	101	150	150	0
19679	94541	N	74	74	177	177	0
19679	34410	N	-160	-163	88	88	1
19679	83425	N	45	45	206	206	0
19679	39586	N	-164	-165	86	86	1
19679	18168	N	147	146	104	104	0
19679	97544	N	-30	-31	220	220	1
19679	48525	N	13	13	238	238	1
107261	89194	N	-198	-197	51	51	1
107261	17162	N	164	166	84	84	1
107261	19876	N	-41	-39	209	209	4
107261	39362	N	-200	-198	50	50	1
107261	70051	N	-193	-190	58	58	1
107261	30767	N	88	88	160	160	2
107261	82712	N	88	90	160	160	3
107261	39913	N	-193	-190	58	58	1
107261	41771	N	-12	-9	239	239	1
107261	23551	N	207	210	41	41	0
107261	31383	N	-196	-193	55	55	1
107261	71912	N	135	138	113	113	1
107261	6721	N	-200	-197	51	51	1
107261	2584	N	-193	-190	58	58	1
107261	67365	N	-159	-156	92	92	0
3304	20961	N	195	195	55	55	0
3304	93441	N	195	195	55	55	0
3304	47882	N	211	212	39	39	0
3304	102554	N	157	158	93	93	0
3304	9044	N	34	35	216	216	0
3304	77848	N	186	187	64	64	0
3304	11362	N	195	195	55	55	0
3304	104085	N	-73	-73	177	177	0
3304	71912	N	-188	-187	63	63	0
41022	76564	N	-47	-46	204	204	4
41022	7698	N	-209	-209	41	41	0
41022	28584	N	-221	-220	30	30	0
41022	85835	N	-178	-178	72	72	1
41022	79454	N	-33	-32	218	218	4
41022	89995	N	-81	-81	169	169	2
218	1662	N	207	207	44	44	0
218	16074	N	0	0	251	251	5
218	89644	N	226	226	25	25	0
218	32505	N	-42	-42	209	209	2
218	38641	N	-168	-168	83	83	0
218	82089	N	194	193	57	57	0
218	37068	N	127	127	124	124	2
218	1141	N	-94	-94	157	157	0
218	29087	N	0	0	251	251	2
218	43590	N	137	136	114	114	2
218	2579	N	226	225	25	25	0
218	68972	N	136	136	115	115	2
9420	83219	N	181	181	69	69	1
9420	105711	N	10	11	240	240	2
9420	21666	N	0	1	250	250	3
10444	76560	N	146	146	105	105	0
10444	62311	N	77	76	174	174	0
3638	27138	N	142	143	108	108	0
3638	70950	N	164	165	86	86	1
3638	1867	N	3	4	247	247	4
3638	28503	N	225	226	25	25	0
3638	87366	N	-36	-35	215	215	4
3638	14486	N	0	0	250	250	5
3638	47647	N	121	122	129	129	0
3638	30737	N	-43	-42	208	208	3
3638	3094	N	-43	-42	208	208	3
3638	98938	N	-90	-89	161	161	3
3638	67595	N	191	192	59	59	0
3638	18461	N	0	0	250	250	3
3638	22158	N	77	77	173	173	2
3638	39927	N	4	4	246	246	3
3638	49036	N	77	77	173	173	1
91496	24098	N	140	142	109	109	1
91496	78532	N	55	57	194	194	1
91496	17878	N	21	21	228	228	3
91496	76402	N	78	80	171	171	1
36912	59355	N	-191	-189	59	59	0
36912	86275	N	-37	-34	214	214	0
36912	21017	N	129	132	119	119	2
36912	107260	N	0	2	248	248	0
36912	50177	N	-59	-56	192	192	3
89488	9817	N	-92	-92	157	157	0
89488	68883	N	191	192	58	58	0
89488	100359	N	174	176	75	75	1
89488	53465	N	-115	-114	135	135	0
51772	82250	N	211	211	40	40	0
51772	37168	N	-197	-197	54	54	1
51772	20962	N	153	152	98	98	0
25190	8516	N	-152	-152	99	99	0
40948	52609	N	-198	-200	51	51	0
40948	47917	N	-21	-24	227	227	0
52308	105419	N	199	199	52	52	1
52308	1662	N	143	143	108	108	0
52308	28759	N	-143	-143	108	108	0
52308	75768	N	-108	-108	143	143	0
52308	48664	N	88	88	163	163	0
52308	23115	N	-164	-165	86	86	0
52308	16074	N	-64	-64	187	187	2
52308	78746	N	-181	-181	70	70	1
52308	106899	N	-106	-106	145	145	0
52308	14034	N	-173	-174	77	77	1
52308	89644	N	162	162	89	89	1
52308	63932	N	0	0	251	251	0
52308	82089	N	130	129	121	121	0
52308	37068	N	63	63	188	188	1
52308	6741	N	-38	-38	213	213	0
52308	80224	N	216	215	35	35	0
52308	66976	N	89	89	162	162	2
52308	43590	N	73	72	178	178	0
52308	78520	N	-230	-230	21	21	0
52308	26306	N	89	89	162	162	3
52308	67563	N	-143	-143	108	108	0
52308	82582	N	64	64	187	187	0
52308	68972	N	72	72	179	179	1
52308	7138	N	-106	-106	145	145	1
52308	67895	N	56	55	195	195	0
52308	58623	N	-184	-184	67	67	0
52308	50806	N	-72	-72	179	179	0
52308	3308	N	-76	-76	175	175	0
52308	24590	N	-97	-97	154	154	0
105419	52229	N	-82	-82	169	169	3
105419	70531	N	-111	-111	140	140	1
105419	73062	N	-112	-112	139	139	0
105419	89644	N	-37	-37	214	214	0
105419	10831	N	126	126	125	125	1
105419	63932	N	-199	-199	52	52	1
105419	82089	N	-69	-70	181	181	2
105419	100294	N	-137	-138	113	113	2
105419	21141	N	-76	-76	175	175	2
105419	89533	N	55	55	196	196	2
105419	5870	N	50	50	201	201	4
105419	565	N	-199	-199	52	52	0
105419	82582	N	-135	-135	116	116	2
105419	67895	N	-143	-144	107	107	2
105419	87720	N	-85	-85	166	166	3
10361	85517	N	177	177	74	74	0
10361	52664	N	-140	-141	110	110	0
10361	61693	N	186	185	65	65	1
10361	96972	N	-93	-94	157	157	1
10361	72248	N	-163	-163	88	88	0
81846	23782	N	-125	-125	125	125	1
81846	20468	N	-51	-56	194	194	3
20630	53901	N	52	51	198	198	3
20630	39320	N	188	189	62	62	0
20630	61622	N	146	147	104	104	1
20630	103653	N	155	156	95	95	0
20630	92027	N	110	111	140	140	0
20630	70304	N	121	122	129	129	1
20630	5749	N	225	225	25	25	0
20630	32665	N	133	134	117	117	0
20630	94056	N	12	13	238	238	1
20630	98478	N	25	22	225	225	1
20630	1050	N	110	111	140	140	1
20630	64087	N	-26	-25	225	225	0
20630	68458	N	102	100	148	148	2
20630	86421	N	218	219	32	32	0
20630	104374	N	167	168	83	83	0
20630	57420	N	-34	-34	216	216	1
20630	55291	N	-162	-161	89	89	1
1662	48664	N	-55	-55	196	196	0
1662	98252	N	-212	-212	39	39	0
1662	89644	N	19	19	232	232	4
1662	63932	N	-143	-143	108	108	0
1662	82089	N	-13	-14	237	237	2
1662	37068	N	-80	-80	171	171	1
1662	6741	N	-181	-181	70	70	0
1662	100294	N	-81	-82	169	169	3
1662	89533	N	111	111	140	140	2
1662	80224	N	73	72	178	178	0
1662	66976	N	-54	-54	197	197	0
1662	43590	N	-70	-71	180	180	0
1662	2579	N	19	18	232	232	2
1662	82582	N	-79	-79	172	172	0
1662	68972	N	-71	-71	180	180	2
1662	67895	N	-87	-88	163	163	0
1662	50806	N	-215	-215	36	36	0
1662	3308	N	-219	-219	32	32	0
1662	72666	N	-212	-212	39	39	0
19619	73195	N	230	230	21	21	0
19619	69833	N	227	226	24	24	0
53563	47961	N	61	60	190	190	1
17157	57962	N	-129	-128	122	122	0
17157	72082	N	188	189	62	62	1
23836	54650	N	-18	-17	232	232	3
23836	86298	N	0	1	249	249	3
23836	71737	N	9	10	240	240	1
23836	23874	N	39	41	210	210	2
23836	73873	N	220	222	29	29	0
23836	24169	N	60	62	189	189	1
23836	25696	N	45	47	204	204	1
23836	3254	N	99	101	150	150	1
23836	94676	N	-88	-87	162	162	3
23836	103534	N	29	30	220	220	1
61786	45590	N	36	36	215	215	0
61786	62750	N	-46	-46	205	205	2
61786	102380	N	-60	-60	191	191	2
43461	10722	N	144	143	106	106	1
43461	2330	N	16	16	234	234	0
43461	35163	N	115	116	135	135	0
96408	18114	N	-108	-109	141	141	2
96408	98888	N	-83	-82	168	168	2
96408	103321	N	-198	-197	53	53	1
19373	22952	N	-178	-178	73	73	0
28403	89194	N	-91	-93	158	158	2
28403	74316	N	-47	-48	203	203	2
28403	19876	N	66	65	185	185	0
28403	93263	N	-59	-59	192	192	2
28403	27333	N	-58	-58	193	193	3
28403	25121	N	-47	-47	204	204	2
28403	1914	N	0	0	251	251	2
28403	82712	N	195	194	56	56	0
28403	104275	N	-50	-54	197	197	2
28403	31383	N	-89	-89	162	162	2
28403	6892	N	-45	-49	202	202	4
28403	38984	N	228	228	23	23	0
28403	6721	N	-93	-93	158	158	2
28403	68961	N	36	36	215	215	1
89194	2537	N	-73	-73	176	176	0
89194	74316	N	44	45	205	205	1
89194	59136	N	-75	-73	176	176	3
89194	19876	N	157	158	92	92	0
89194	93263	N	32	34	217	217	2
89194	27333	N	33	35	216	216	2
89194	25121	N	44	46	205	205	2
89194	73605	N	-75	-73	176	176	0
89194	1914	N	91	93	158	158	2
89194	104275	N	41	39	208	208	0
89194	29779	N	-75	-73	176	176	0
89194	31383	N	2	4	247	247	2
89194	6892	N	46	44	203	203	1
89194	72494	N	-121	-121	128	128	0
89194	6721	N	-2	0	249	249	1
89194	68961	N	127	129	122	122	0
89194	67365	N	39	41	210	210	1
42507	31769	N	110	111	140	140	0
42507	34860	N	113	113	137	137	0
42507	80227	N	-37	-36	214	214	2
99350	87495	N	-97	-97	154	154	3
99350	51785	N	-231	-231	20	20	0
99350	91628	N	-162	-162	89	89	0
99350	28022	N	39	39	212	212	1
99350	78529	N	10	10	241	241	4
99350	93005	N	-21	-23	228	228	4
99350	40449	N	74	74	177	177	1
99350	1849	N	-187	-187	64	64	0
99350	69826	N	58	58	193	193	1
99350	68480	N	152	148	99	99	0
99350	50836	N	-201	-201	50	50	1
99350	87729	N	195	195	56	56	0
99350	10551	N	-43	-43	208	208	2
99350	105583	N	195	195	56	56	0
99350	40623	N	74	72	177	177	3
99350	60734	N	50	50	201	201	1
99350	53284	N	-45	-45	206	206	3
54966	31769	N	-130	-130	121	121	2
54966	76564	N	34	34	217	217	2
54966	34860	N	-127	-128	123	123	2
54966	79454	N	48	48	203	203	0
72688	51338	N	-164	-169	82	82	1
72688	13562	N	150	149	101	101	1
72688	31594	N	155	154	96	96	0
72688	38948	N	227	227	24	24	0
19480	14528	N	-207	-206	44	44	0
19480	37870	N	63	62	187	187	1
19480	72702	N	-220	-219	31	31	0
19480	59355	N	-191	-191	59	59	1
19480	67507	N	131	132	119	119	1
19480	82293	N	-90	-89	161	161	0
19480	86443	N	-141	-140	110	110	1
71319	11304	N	196	196	54	54	1
71319	96280	N	181	181	69	69	1
71319	74238	N	128	124	122	122	0
71319	62649	N	-31	-30	220	220	0
71319	50976	N	181	181	69	69	1
71319	97050	N	174	174	76	76	1
71319	104144	N	146	147	104	104	2
71319	56106	N	66	66	184	184	0
71319	61270	N	57	57	193	193	1
71319	30580	N	191	192	59	59	1
71319	23458	N	32	30	218	218	4
71319	84882	N	15	16	235	235	1
71319	96742	N	196	195	54	54	1
71319	17835	N	-36	-35	215	215	4
71319	65353	N	173	173	77	77	0
71319	106806	N	174	174	76	76	1
47145	64614	N	-173	-173	77	77	0
47145	53339	N	-70	-72	178	178	0
47145	93980	N	-164	-163	87	87	1
47145	51785	N	33	34	217	217	3
47145	1849	N	77	78	173	173	3
47145	96432	N	-26	-30	220	220	2
47145	37119	N	-103	-106	144	144	0
47145	73873	N	-61	-60	190	190	2
47145	10551	N	221	222	29	29	0
47145	88634	N	164	162	86	86	1
47145	24169	N	-221	-220	30	30	0
47145	19408	N	-216	-215	35	35	0
47145	80087	N	219	220	31	31	0
47145	3254	N	-182	-181	69	69	0
47145	21943	N	-108	-108	142	142	0
70508	26254	N	-81	-80	170	170	0
70508	85862	N	229	230	21	21	0
70508	20081	N	-26	-25	225	225	1
83219	38641	N	166	167	84	84	0
83219	61585	N	23	22	227	227	1
83219	36590	N	138	136	112	112	2
83219	79926	N	166	167	84	84	0
83219	105711	N	-171	-170	80	80	1
83219	67705	N	92	93	158	158	0
83219	21666	N	-181	-180	70	70	0
83219	13492	N	-181	-180	70	70	1
77832	7640	N	79	79	172	172	2
77832	19093	N	1	1	250	250	1
77832	15385	N	165	163	86	86	0
87495	28022	N	136	136	115	115	2
87495	41451	N	-144	-144	107	107	2
87495	78529	N	107	107	144	144	0
87495	93005	N	76	74	175	175	3
87495	40449	N	171	171	80	80	1
87495	1849	N	-90	-90	161	161	3
87495	12608	N	-228	-228	23	23	0
87495	68577	N	154	154	97	97	0
87495	96432	N	-193	-198	53	53	0
87495	50836	N	-104	-104	147	147	2
87495	83942	N	173	171	78	78	1
87495	73873	N	-228	-228	23	23	0
87495	10551	N	54	54	197	197	3
87495	88634	N	-3	-6	245	245	4
87495	40623	N	171	169	80	80	0
87495	66099	N	-184	-184	67	67	1
87495	60734	N	147	147	104	104	2
87495	49989	N	154	154	97	97	1
87495	48577	N	155	154	96	96	0
87495	103743	N	-228	-228	23	23	0
75968	103419	N	84	84	167	167	1
75968	94619	N	-53	-54	197	197	0
75968	53933	N	-32	-34	217	217	1
75968	89414	N	-46	-46	205	205	3
75968	25406	N	9	6	242	242	3
75968	85949	N	-1	-2	249	249	0
75968	89732	N	-29	-30	221	221	2
75968	67785	N	-52	-53	198	198	2
75968	33793	N	84	84	167	167	1
75968	74263	N	-95	-97	154	154	2
75968	69849	N	118	116	133	133	0
41945	72345	N	-97	-100	151	151	0
41945	70208	N	-100	-101	150	150	0
64614	53339	N	103	101	147	147	0
64614	93980	N	9	10	241	241	2
64614	96432	N	147	143	103	103	1
64614	21886	N	-108	-108	142	142	2
64614	50369	N	-77	-76	174	174	1
64614	37119	N	70	67	180	180	1
64614	67260	N	127	128	123	123	2
64614	73873	N	112	113	138	138	2
64614	93593	N	-92	-91	159	159	1
64614	19408	N	-43	-42	208	208	1
64614	103743	N	112	113	138	138	2
64614	21943	N	65	65	185	185	2
56578	35624	N	82	82	169	169	1
56578	39320	N	-90	-90	161	161	0
56578	103653	N	-123	-123	128	128	1
56578	92027	N	-168	-168	83	83	0
56578	70304	N	-157	-157	94	94	0
56578	44939	N	173	173	78	78	0
56578	5749	N	-53	-54	197	197	0
56578	1310	N	-73	-73	178	178	1
56578	77254	N	-60	-60	191	191	0
53339	93980	N	-94	-91	157	157	1
53339	51785	N	103	106	145	145	1
53339	91628	N	172	175	76	76	1
53339	1849	N	147	150	101	101	1
53339	96432	N	44	42	204	204	2
53339	21886	N	-211	-209	39	39	0
53339	50369	N	-180	-177	71	71	0
53339	37119	N	-33	-34	214	214	0
53339	77577	N	-94	-91	157	157	2
53339	73873	N	9	12	239	239	3
53339	93593	N	-195	-192	56	56	0
53339	19408	N	-146	-143	105	105	0
53339	3254	N	-112	-109	139	139	2
53339	103743	N	9	12	239	239	4
53339	21943	N	-38	-36	212	212	0
18114	25000	N	-114	-113	136	136	1
18114	63223	N	-147	-145	104	104	1
36690	9422	N	-210	-211	40	40	0
36690	43290	N	190	186	61	61	0
36690	84546	N	129	129	122	122	0
36690	72345	N	-201	-204	47	47	0
36690	70208	N	-204	-205	46	46	0
68175	79442	N	122	122	129	129	1
68175	29414	N	-46	-46	205	205	0
35624	39320	N	-172	-172	79	79	1
35624	61622	N	-214	-214	37	37	0
35624	7209	N	-157	-158	93	93	1
35624	44939	N	91	91	160	160	1
35624	45365	N	-155	-155	96	96	1
35624	69842	N	-155	-155	96	96	1
35624	5749	N	-135	-136	115	115	1
35624	76040	N	-157	-158	93	93	1
35624	32665	N	-227	-227	24	24	0
35624	25923	N	-155	-155	96	96	1
35624	86421	N	-142	-142	109	109	2
35624	104374	N	-193	-193	58	58	1
35624	1310	N	-155	-155	96	96	1
35624	64209	N	228	227	23	23	0
35624	77254	N	-142	-142	109	109	1
11376	14528	N	-209	-161	42	42	0
11376	72702	N	-222	-174	29	29	0
11376	59355	N	-193	-146	57	57	1
11376	2279	N	-93	-45	158	158	3
11376	86443	N	-143	-95	108	108	0
11376	80888	N	-98	-51	152	152	3
2537	74316	N	117	118	132	132	1
2537	59136	N	-2	0	249	249	4
2537	93263	N	105	107	144	144	2
2537	27333	N	106	108	143	143	2
2537	25121	N	117	119	132	132	2
2537	73605	N	-2	0	249	249	1
2537	104275	N	114	112	135	135	0
2537	29779	N	-2	0	249	249	1
2537	31383	N	75	77	174	174	2
2537	6892	N	119	117	130	130	1
2537	72082	N	-175	-173	76	76	0
2537	72494	N	-48	-48	201	201	0
2537	6721	N	71	73	178	178	1
2537	68961	N	200	202	49	49	0
2537	67365	N	112	114	137	137	0
88226	34340	N	-163	-163	88	88	0
88226	34228	N	-192	-192	59	59	0
69934	58469	N	-122	-122	128	128	1
69934	17149	N	215	216	35	35	0
69934	23064	N	-115	-115	135	135	2
69934	60730	N	-115	-115	135	135	2
69934	84018	N	-111	-110	140	140	0
69934	67507	N	-191	-190	60	60	0
69934	87614	N	228	229	22	22	0
69934	102717	N	-187	-186	64	64	0
69934	33410	N	-222	-222	28	28	0
69934	21017	N	-193	-192	58	58	0
28759	75768	N	35	35	216	216	0
28759	48664	N	231	231	20	20	0
28759	23115	N	-21	-22	229	229	1
28759	67005	N	-99	-100	151	151	1
28759	106899	N	37	37	214	214	0
28759	14034	N	-30	-31	220	220	2
28759	63932	N	143	143	108	108	0
28759	6741	N	105	105	146	146	0
28759	79926	N	-89	-89	162	162	1
28759	70919	N	-231	-231	20	20	0
28759	43590	N	216	215	35	35	0
28759	78520	N	-87	-87	164	164	2
28759	67563	N	0	0	251	251	0
28759	82582	N	207	207	44	44	0
28759	9183	N	-163	-163	88	88	1
28759	68972	N	215	215	36	36	0
28759	67895	N	199	198	52	52	0
28759	58623	N	-41	-41	210	210	1
28759	50806	N	71	71	180	180	0
28759	3308	N	67	67	184	184	0
28759	24590	N	46	46	205	205	4
66600	73322	N	19	22	229	229	1
66600	70919	N	89	92	159	159	2
66600	96446	N	-9	-6	242	242	3
66600	49523	N	88	89	160	160	0
75768	52229	N	225	225	26	26	0
75768	48664	N	196	196	55	55	0
75768	23115	N	-56	-57	194	194	0
75768	67005	N	-134	-135	116	116	0
75768	106899	N	2	2	249	249	0
75768	14034	N	-65	-66	185	185	1
75768	63932	N	108	108	143	143	0
75768	37068	N	171	171	80	80	1
75768	6741	N	70	70	181	181	0
75768	21141	N	231	231	20	20	0
75768	79926	N	-124	-124	127	127	0
75768	43590	N	181	180	70	70	0
75768	78520	N	-122	-122	129	129	1
75768	26306	N	197	197	54	54	0
75768	67563	N	-35	-35	216	216	0
75768	82582	N	172	172	79	79	0
75768	9183	N	-198	-198	53	53	0
75768	68972	N	180	180	71	71	0
75768	67895	N	164	163	87	87	0
75768	58623	N	-76	-76	175	175	0
75768	50806	N	36	36	215	215	0
75768	3308	N	32	32	219	219	0
75768	24590	N	11	11	240	240	4
75768	87720	N	222	222	29	29	0
10722	2330	N	-128	-127	122	122	1
10722	85929	N	-71	-70	179	179	2
57246	94541	N	-27	-27	224	224	2
57246	83425	N	-56	-56	195	195	1
57246	69385	N	-191	-193	58	58	1
57246	18168	N	46	45	205	205	2
57246	97544	N	-131	-132	119	119	0
57246	48525	N	-88	-88	163	163	0
34065	7466	N	-202	-201	49	49	0
34065	51514	N	163	164	87	87	1
52060	34340	N	102	102	149	149	2
52060	31807	N	39	38	212	212	0
52060	69772	N	74	74	177	177	1
61361	11304	N	37	36	214	214	0
61361	96280	N	22	21	229	229	0
61361	74238	N	-31	-36	215	215	4
61361	32647	N	74	73	177	177	0
61361	73802	N	-141	-142	109	109	2
61361	2281	N	15	14	236	236	1
61361	50976	N	22	21	229	229	0
61361	97050	N	15	14	236	236	3
61361	30580	N	32	32	219	219	3
61361	99498	N	114	111	137	137	2
61361	96742	N	37	35	214	214	3
61361	65353	N	14	13	237	237	4
61361	55291	N	214	214	37	37	0
53901	39320	N	136	138	113	113	2
53901	61622	N	94	96	155	155	0
53901	92027	N	58	60	191	191	3
53901	70407	N	28	30	221	221	4
53901	32665	N	81	83	168	168	2
53901	98478	N	-27	-29	220	220	4
53901	54651	N	-115	-113	136	136	1
